Nombre,Partido,Estado,Cabecera Municipal
Hernández Villalpando Rafael,MORENA,Veracruz,Xalapa
Hernández Villanueva Rocío,MORENA,Veracruz,Tuxpam de Rodríguez Cano
Herrera Villavicencio Mónica,MORENA,Veracruz,Martínez de La Torre
Huerta Jurado Javier,MORENA,Estado de México,Cuautitlán
Jiménez Ramírez Yolis,MORENA,Hidalgo,Actopan
Juan Carlos Irma,MORENA,Oaxaca,Teotitlán de Flores Magón
Llergo Latournerie Mario Rafael,MORENA,Tabasco,Villahermosa
López Guadarrama Carlos,MORENA,Estado de México,Chimalhuacán
Luévano Luna Salma,MORENA,Aguascalientes, 
Manzo Rodríguez Carlos Alberto,MORENA,Michoacán,Uruapan del Progreso
Mares Cossío Héctor Ireneo,MORENA,Baja California,Tijuana
Marín Díaz Fernando,MORENA,Ciudad de México, 
Márquez Alkadef Cortes Cecilia,MORENA,Jalisco, 
Martínez Díaz Esther Berenice,MORENA,Nuevo León, 
Martínez Espinoza Gabriela,MORENA,Sonora,Cd. Obregón
Martinez Lopez Jaime,MORENA,Michoacán, 
Maya Martínez Hirepan,MORENA,Michoacán, 
Medina Filigrana Marcos Rosendo,MORENA,Tabasco,Macuspana
Mejia Soto Jim,MORENA, , 
Méndez Denis Lorena,MORENA,Tabasco,Comalcalco
Mendoza Álvarez Mayra Alicia,MORENA,Chiapas, 
Merlín García María del Rosario,MORENA,Guerrero,Acapulco
Mier Velazco Moisés Ignacio,MORENA,Puebla, 
Morales Miranda Flor Ivone,MORENA,Ciudad de México,Xochimilco
Morales Romero Martha Rosa,MORENA,Veracruz,Córdoba
Moreno Guerra Evangelina,MORENA,Baja California,Tijuana
Moreno Rivera Julio Cesar,MORENA,Ciudad de México, 
Muñoz Álvarez Rubén Gregorio,MORENA,Baja California Sur, 
Murguía Lardizábal Daniel,MORENA,Chihuahua,Juárez
Narcía Coutiño Manuel de Jesús,MORENA,Chiapas,Tonalá
Narro Panameño Blanca Araceli,MORENA,Tamaulipas, 
Navarrete Rivera Alma Delia,MORENA,Estado de México,Ecatepec de Morelos
Navarro Conkle Sandra Luz,MORENA,Sonora, 
Noriega Romero Carlos,MORENA,Coahuila, 
Obrador Narváez Manuela del Carmen,MORENA,Chiapas,Palenque
Ocampo Manzanares Araceli,MORENA,Guerrero,Iguala
Ochoa Fernández Cuauhtémoc,MORENA,Hidalgo,Tula de Allende
Olua González Yessenia Leticia,MORENA,Baja California,Mexicali
Onofre Vázquez Vicente Alberto,MORENA,Estado de México,Chalco de Díaz Covarrubias
Ortega Fonseca Pedro David,MORENA,Guanajuato,Uriangato
Ortiz Tejeda Carlos Francisco,MORENA,Ciudad de México, 
Pani Barragán Alejandra,MORENA,Morelos,Jiutepec
Parra Juárez Inés,MORENA,Puebla,Ajalpan
Peña Escalante Rosangela Amairany,MORENA,Sonora,Hermosillo
Peñaloza Pérez Pedro Sergio,MORENA,Guerrero, 
Pérez Barcenas Lidia,MORENA,Ciudad de México,Venustiano Carranza
Pérez Bernabe Jaime Humberto,MORENA,Veracruz,Papantla de Olarte
Pérez Garibay Marco Antonio,MORENA,Jalisco, 
Pérez Gutiérrez Blanca Carolina,MORENA,Chiapas, 
Pérez López Beatriz Dominga,MORENA,Oaxaca,Heroica Ciudad de Tlaxiaco
Pérez Navarrete Miguel Ángel,MORENA,Hidalgo,Tepeapulco
Pérez Segura Laura Imelda,MORENA,Jalisco,Tlaquepaque
