Nombre,Partido,Estado,Cabecera Municipal
Aguilar López José Alejandro,PT,Tlaxcala,Apizaco
Alcántara Martínez Leobardo,PT,Sinaloa,Mazatlán
Anaya Gutiérrez Alberto,PT,Nuevo León, 
Baltierra García Jaime,PT,Puebla,San Martín Texmelucan de Labastida
Bernal Camarena Ana Laura,PT,Sonora,Nogales
Bernal Martínez Mary Carmen,PT,Michoacán,Heroica Zitácuaro
Celestino Rosas Araceli,PT,Puebla,Tehuacán
Espinosa Ramos Francisco Amadeo,PT,Chiapas, 
Favela Peñuñuri Francisco,PT,Estado de México,Teotihuacán de Arista
Femat Bañuelos Alfredo,PT,Zacatecas,Zacatecas
Fernández Noroña José Gerardo Rodolfo,PT,Ciudad de México,Iztapalapa
Garay Loredo Irma Yordana,PT,Tlaxcala,Tlaxcala de Xicohténcatl
García García Margarita,PT,Oaxaca,Heroica Ciudad de Huajuapan de León
García Hernández Jesús Fernando,PT,Sinaloa,Guamúchil
Garduño Garduño Marisela,PT,Estado de México,Ecatepec de Morelos
Maceda Carrera Nelly,PT,Puebla,Acatlán de Osorio
Martínez Romano Esther,PT,Puebla,Teziutlán
Martínez Ruiz Maribel,PT,Oaxaca, 
Martínez Ventura Luis Enrique,PT,Estado de México,Valle de Chalco Solidaridad
Moreno Hernández Brígido Ramiro,PT,Coahuila,Piedras Negras
Núñez Monreal Magdalena del Socorro,PT,Ciudad de México, 
Ortiz Rodríguez Jorge Armando,PT,Nayarit,Compostela
Paez Güereca Maria De Jesús,PT,Durango, 
Reyes Ledesma Armando,PT,Baja California,Ensenada
Robles Montoya Ángel Benjamín,PT,Oaxaca,Oaxaca de Juárez
Rojo Pimentel Ana Karina,PT,Ciudad de México,Iztapalapa
Rosete Sánchez María de Jesús,PT,Ciudad de México,Cuauhtémoc
Sandoval Flores Reginaldo,PT,Michoacán, 
Vázquez García Dionicia,PT,Estado de México,Santa Maria Tultepec
Vázquez González Pedro,PT,Ciudad de México, 
Vázquez Romero Shirley Guadalupe,PT,Sonora,Navojoa
Wences Real Victoriano,PT,Guerrero,Tlapa
Adams Pereyra Olga Zulema,MC,Baja California, 
Álvarez Máynez Jorge,MC,Jalisco, 
Álvarez Solis Maria Asención,MC,Jalisco,Santa Cruz de las Flores
Banquells Núñez María Del Rocío,MC,Ciudad de México,Tlalpan
Barrera Sepúlveda Sergio,MC,Jalisco,Tlaquepaque
Caro Cabrera Salvador,MC,Jalisco, 
Castañeda González Omar Enrique,MC,Durango,Gómez Palacio
Chávez Pérez Maria Leticia,MC,Jalisco,Guadalajara
Chertorivski Woldenberg Salomón,MC,Ciudad de México, 
de la Garza Garza Arturo Bonifacio,MC,Nuevo León, 
Delgado Ventura Pablo Gil,MC,San Luis Potosí, 
Fernández Castillo Horacio,MC,Jalisco,Zapopan
Flores Gómez Mirza,MC,Jalisco, 
García Medina Amalia Dolores,MC,Zacatecas, 
Garza Marín José Mauro,MC,Jalisco,Guadalajara
Herrera Vega Manuel Jesús,MC,Jalisco,Zapopan
Limón García María Elena,MC,Jalisco, 
Martínez Cosío Elvia Yolanda,MC,Jalisco, 
Mejía Ibáñez Julieta,MC,Nayarit, 
Ochoa Mejía Ma Teresa Rosaura,MC,Estado de México, 
Ochoa Mijares Braulio Lopez,MC, , 
Ortega de la Cruz Jessica,MC,Morelos, 
Ortega Pacheco Ivonne Aracelly,MC,Yucatán, 
Pintos Caballero Andrés,MC,Nuevo León,García
Rodríguez Carrillo Mario Alberto,MC,Jalisco, 
Rodríguez González Taygete Irisay,MC,Jalisco,Zapopan
Samperio Chaparro Rodrigo Herminio,MC,Estado de México, 
Castañeda Navarrete Marcelino,PRD,Ciudad de México,Iztapalapa
Chávez Flores Maria Macarena,PRD,Michoacán,Pátzcuaro
Chávez Ruiz Héctor,PRD,Hidalgo, 
Díaz Acevedo Edna Gisel,PRD,Estado de México, 
Espinosa Cházaro Luis Angel Xariel,PRD,Ciudad de México, 
Espinosa Morales Olga Luz,PRD,Chiapas, 
Fernández Piña Laura Lynn,PRD,Quintana Roo,Cancún
Huacus Esquivel Francisco Javier,PRD,Michoacán,Apatzingán de La Constitución
Pérez Valdez Elizabeth,PRD,Ciudad de México, 
Prieto Gómez Mauricio,PRD,Michoacán,Puruándiro
Rafael Dircio Fabiola,PRD,Guerrero,Chilapa
Rodríguez Sarabia Leslie Estefania,PRD,Baja California, 
Sodi Gabriela,PRD,Ciudad de México,Cuauhtémoc
Torres Rosales Miguel Angel,PRD,Zacatecas, 
Velazquez Flores Jesus Alberto,PRD,Veracruz, 
