,Distrito,Cabecera Municipal,Diputado,Partido,Estado
306,XIII Distrito,Ticul,Carmen Guadalupe González Martín,Partido Acción Nacional,Yucatán
307,XIV Distrito,Tecoh,Melba Rosana Gamboa Avila,Partido Acción Nacional,Yucatán
308,XV Distrito,Izamal,Ingrid del Pilas Santos Díaz,Partido Acción Nacional,Yucatán
309,1,Mexicali,Manuel Guerrero Luna,Movimiento Regeneración Nacional,Baja California
310,2,Mexicali,Víctor Hugo Navarro Gutiérrez,Movimiento Regeneración Nacional,Baja California
311,3,Mexicali,Alejandra María Ang Hernández,Movimiento Regeneración Nacional,Baja California
312,4,Mexicali,Liliana Michel Sánchez Allende,Movimiento Regeneración Nacional,Baja California
313,5,Mexicali,Juan Manuel Molina García,Movimiento Regeneración Nacional,Baja California
314,6,Tecate,César Adrián González García,Partido Verde Ecologista de México,Baja California
315,7,Tijuana,Julio César Vázquez Castillo,Partido del Trabajo,Baja California
316,8,Tijuana,Sergio Moctezuma Martínez López,Partido del Trabajo,Baja California
317,9,Tijuana,Marco Antonio Salinas Blásquez,Partido del Trabajo,Baja California
318,10,Tijuana,Julia Andrea González Quiroz,Movimiento Regeneración Nacional,Baja California
319,11,Tijuana,Evelyn Sánchez Sánchez,Movimiento Regeneración Nacional,Baja California
320,12,Tijuana,Ramón Vázquez Valadez,Movimiento Regeneración Nacional,Baja California
321,13,Tijuana,Gloria Arcelia Miramontes Plantillas,Movimiento Regeneración Nacional,Baja California
322,14,Tijuana,Araceli Geraldo Núñez,Movimiento Regeneración Nacional,Baja California
323,15,Playas de Rosarito,María del Socorro Adame Muñoz,Movimiento Regeneración Nacional,Baja California
324,16,Ensenada,Claudia Josefina Agatón Muñiz,Partido del Trabajo,Baja California
325,17,Ensenada,Dunnia Montserrat Murillo López,Movimiento Regeneración Nacional,Baja California
326,1,Campeche,Fabricio Fernando Pérez Mendoza,Movimiento Ciudadano (hasta 2022),Campeche
327,2,Campeche,Daniela Guadalupe Martínez Hernández,Movimiento Ciudadano,Campeche
328,3,Campeche,Hipsi Marisol Estrella Guillermo,Movimiento Ciudadano,Campeche
329,4,Campeche,Jesús Humberto Aguilar Díaz,Movimiento Ciudadano,Campeche
330,5,Campeche,José Antonio Jiménez Gutiérrez,Movimiento Regeneración Nacional,Campeche
331,6,Campeche,Karla Guadalupe Toledo Zamora,Partido Revolucionario Institucional,Campeche
332,7,Tenabo,Ramón Cuauhtémoc Santini Cobos,Partido Revolucionario Institucional,Campeche
333,8,Carmen,María Violeta Bolaños Rodríguez,Movimiento Regeneración Nacional,Campeche
334,9,Carmen,Jorge Pérez Falconi,Movimiento Regeneración Nacional,Campeche
335,10,Carmen,Dalila del Carmen Mata Pérez,Movimiento Regeneración Nacional,Campeche
336,11,Carmen,María del Pilar Martínez Acuña,Movimiento Regeneración Nacional,Campeche
337,12,Carmen,Jorge Luis López Gamboa,Movimiento Regeneración Nacional,Campeche
338,13,Escárcega,Abigail Gutiérrez Morales,Movimiento Ciudadano (hasta 2022),Campeche
339,14,Candelaria,Rigoberto Figueroa Ortiz,Partido Revolucionario Institucional,Campeche
340,15,Champotón,Balbina Alejandra Hidalgo Zavala,Movimiento Regeneración Nacional,Campeche
341,16,Seybaplaya,Liliana Idali Sosa Huchin,Movimiento Regeneración Nacional,Campeche
342,17,Calkiní,Irayde del Carmen Avilez Kantun,Movimiento Regeneración Nacional,Campeche
343,18,Hopelchén,Diana Consuelo Campos,Partido Revolucionario Institucional,Campeche
344,19,Hecelchakán,Leidy María Keb Ayala,Partido Acción Nacional,Campeche
345,20,Palizada,Landy María Velásquez May,Movimiento Regeneración Nacional,Campeche
346,21,Calakmul,Maricela Flores Moo,Movimiento Regeneración Nacional,Campeche
347,1,Tuxtla Gutiérrez,Felipe de Jesús Granda Pastrana,Movimiento Regeneración Nacional,Chiapas
348,2,Tuxtla Gutiérrez,Flor de María Esponda Torres,Movimiento Regeneración Nacional,Chiapas
349,3,Chiapa de Corzo,Martha Verónica Alcázar Cordero,Movimiento Regeneración Nacional,Chiapas
350,4,Yajalón,Jorge Manuel Pulido López,Partido Verde Ecologista de México,Chiapas
351,5,San Cristóbal de Las Casas,Fabiola Ricci Diestel,Movimiento Regeneración Nacional,Chiapas
352,6,Comitán de Domínguez,María Roselia Jiménez Pérez,Partido del Trabajo,Chiapas
353,7,Ocosingo,María de los Ángeles Trejo Huerta,Partido Verde Ecologista de México,Chiapas
354,8,Simojovel de Allende,Martha Guadalupe Martínez Ruiz,Partido Verde Ecologista de México,Chiapas
355,9,Palenque,Carlos Morelos Rodríguez,Partido del Trabajo,Chiapas
356,10,Frontera Comalapa,José Antonio Aguilar Meza,Partido Verde Ecologista de México,Chiapas
357,11,Bochil,Karina Margarita del Río Zenteno,Movimiento Regeneración Nacional,Chiapas
358,12,Pichucalco,Agustín Ruiz Mendoza,Partido Verde Ecologista de México,Chiapas
359,13,Tuxtla Gutiérrez,Paola Villamonte Pérez,Movimiento Regeneración Nacional,Chiapas
360,14,Cintalapa,Zoily Linaloe Esperanza Nango Molina,Partido Verde Ecologista de México,Chiapas
361,15,Villaflores,María Reyes Diego Gómez,Partido del Trabajo,Chiapas
362,16,Huixtla,Isidro Ovando Medina,Movimiento Regeneración Nacional,Chiapas
363,17,Motozintla,Jorge Luis Villatoro Osorio,Movimiento Regeneración Nacional,Chiapas
364,18,Mapastepec,Faride Abud García,Movimiento Regeneración Nacional,Chiapas
365,19,Tapachula,Aarón Yamil Melgar Bravo,Movimiento Regeneración Nacional,Chiapas
366,20,Las Margaritas,Cecilia López Sánchez,Partido Podemos Mover a Chiapas,Chiapas
367,21,Tenejapa,Floramla Gómez Santiz,Partido Verde Ecologista de México,Chiapas
368,22,San Juan Chamula,Cuauhtémoc Manuel Hernández Gómez,Movimiento Regeneración Nacional,Chiapas
369,23,Villa Corzo,Mario Humberto Vázquez López,Partido del Trabajo,Chiapas
370,24,Cacahoatán,Yolanda del Rosario Correa González,Partido Chiapas Unido,Chiapas
371,1,Nuevo Casas Grandes,Yesenia Guadalupe Reyes Calzadillas,Partido Acción Nacional,Chihuahua
372,2,Ciudad Juárez,Leticia Ortega Máynez,Movimiento Regeneración Nacional,Chihuahua
373,3,Ciudad Juárez,Oscar Daniel Avitia Arellanes,Movimiento Regeneración Nacional,Chihuahua
374,4,Ciudad Juárez,Rosana Díaz Reyes,Movimiento Regeneración Nacional,Chihuahua
375,5,Ciudad Juárez,Marisela Terrazas Muñoz,Partido Acción Nacional,Chihuahua
376,6,Ciudad Juárez,Deyanira Ozaeta Díaz (2021-2023)1,Partido del Trabajo,Chihuahua
377,7,Ciudad Juárez,Gustavo de la Rosa Hickerson,Movimiento Regeneración Nacional,Chihuahua
378,8,Ciudad Juárez,Cuauhtémoc Estrada Sotelo,Movimiento Regeneración Nacional,Chihuahua
379,9,Ciudad Juárez,Magdalena Rentería Pérez,Movimiento Regeneración Nacional,Chihuahua
380,10,Ciudad Juárez,María Antonieta Pérez Reyes,Movimiento Regeneración Nacional,Chihuahua
381,11,Meoqui,Ismael Pérez Pavía,Partido Acción Nacional,Chihuahua
382,12,Chihuahua,Georgina Bujanda Ríos (2021-2022)2,Partido Acción Nacional,Chihuahua
383,13,Guerrero,Rocío Guadalupe Sarmiento Rufino,Partido Acción Nacional,Chihuahua
384,14,Cuauhtémoc,Saúl Mireles Corral,Partido Acción Nacional,Distrito Federal
385,15,Chihuahua,Alfredo Chávez Madrid,Partido Acción Nacional,Chihuahua
386,16,Chihuahua,Mario Vázquez Robles (2021-2023)3,Partido Acción Nacional,Chihuahua
387,17,Chihuahua,Carlos Olson San Vicente,Partido Acción Nacional,Chihuahua
388,18,Chihuahua,Carla Rivas Martínez (2021-2023)3,Partido Acción Nacional,Chihuahua
389,19,Delicias,Roberto Marcelino Carreón Buitrón,Partido Acción Nacional,Chihuahua
390,20,Camargo,Luis Alberto Aguilar Lozoya,Partido Acción Nacional,Chihuahua
391,21,Hidalgo del Parral,Edgar José Piñón Domínguez,Partido Revolucionario Institucional,Chihuahua
392,22,Guachochi,Noel Chávez Velázquez,Partido Revolucionario Institucional,Chihuahua
393,1,Chilpancingo,Jessica Ivette Alejo Rayo,Movimiento Regeneración Nacional,Guerrero
394,2,Chilpancingo,Osbaldo Ríos Manrique,Movimiento Regeneración Nacional,Guerrero
395,3,Acapulco,Estrella de la Paz Bernal,Movimiento Regeneración Nacional,Guerrero
396,4,Acapulco,Gloria Citlali Calixto Jiménez,Movimiento Regeneración Nacional,Guerrero
397,5,Acapulco,Beatriz Mojica Morga,Movimiento Regeneración Nacional,Guerrero
398,6,Acapulco,Leticia Castro Ortiz,Movimiento Regeneración Nacional,Guerrero
399,7,Acapulco,Ricardo Astudillo Calvo,Partido Revolucionario Institucional,Guerrero
400,8,Acapulco,Marco Tulio Sánchez Alarcón,Movimiento Regeneración Nacional,Guerrero
401,9,Acapulco,Joaquín Badillo Escamilla,Movimiento Regeneración Nacional,Guerrero
402,10,Técpan,Fortunato Hernández Carbajal,Movimiento Regeneración Nacional,
403,11,Zihuatanejo,Carlos Cruz López,Movimiento Regeneración Nacional,Guerrero
404,12,Zihuatanejo,Carlos Reyes Torres,Partido de la Revolución Democrática,Guerrero
405,13,San Marcos,Manuel Quiñones Cortés,Partido Verde Ecologista de México,Guerrero
406,14,Ayutla,Ociel Hugar García Trujillo,Partido de la Revolución Democrática,Guerrero
407,15,San Luis Acatlán,José Efrén López Cortés,Movimiento Regeneración Nacional,Guerrero
408,16,Ometepec,Rafael Navarrete Quezada,Partido Revolucionario Institucional,Guerrero
409,17,Coyuca,Elzy Camacho Pineda,Partido de la Revolución Democrática,Guerrero
410,18,Pungarabato,Adolfo Torales Catalán,Partido Revolucionario Institucional,Guerrero
411,19,Eduardo Neri,Olaguer Hernández Flores,Partido Revolucionario Institucional,Guerrero
412,20,Teloloapan,Susana Paola Juárez Gómez,Partido de la Revolución Democrática,Guerrero
413,21,Taxco de Alarcón,Flor Añorve Ocampo,Partido Revolucionario Institucional,Guerrero
414,22,Iguala,Antonio Helguera Jiménez,Movimiento Regeneración Nacional,Guerrero
415,23,Huitzuco,Andrés Guevara Cárdenas,Movimiento Regeneración Nacional,Guerrero
416,24,Tixtla,Bernardo Ortega Jiménez,Partido de la Revolución Democrática,Guerrero
417,25,Chilapa,Jesús Parra García,Partido Revolucionario Institucional,Guerrero
418,26,Atlixtac,Raymundo García Gutiérrez,Partido de la Revolución Democrática,Guerrero
419,27,Tlapa,María Flores Maldonado,Movimiento Regeneración Nacional,Guerrero
420,28,Tlapa,Masedonio Mendoza Basurto,Movimiento Regeneración Nacional,Guerrero
421,1,Tequila,Eduardo Ron Ramos,Movimiento Ciudadano,Jalisco
422,2,Lagos de Moreno,Marcela Padilla de Anda,Movimiento Ciudadano,Jalisco
423,3,Tepatitlán de Morelos,Abel Hernández Márquez,Partido Acción Nacional,Jalisco
424,4,Zapopan,Alejandra Margarita Giadans Valenzuela,Movimiento Ciudadano,Jalisco
425,5,Puerto Vallarta,Yussara Elizabeth Canales González,Movimiento Regeneración Nacional,Jalisco
426,6,Zapopan,Laura Gabriela Cárdenas Rodríguez,Movimiento Ciudadano,Jalisco
427,7,Tonalá,Claudia García Hernández,Movimiento Regeneración Nacional,Jalisco
428,8,Guadalajara,Claudia Gabriela Salas Rodríguez,Movimiento Ciudadano,Jalisco
429,9,Guadalajara,Leticia Fabiola Cuan Ramírez,Movimiento Ciudadano,Jalisco
430,10,Zapopan,Mónica Paola Magaña Mendoza,Movimiento Ciudadano,Jalisco
431,11,Guadalajara,Rocío Aguilar Tejada,Movimiento Ciudadano,Jalisco
432,12,Tlajomulco de Zúñiga,Gerardo Quirino Velázquez Chávez,Movimiento Ciudadano,Jalisco
433,13,San Pedro Tlaquepaque,Lourdes Celenia Contreras González,Movimiento Ciudadano,Jalisco
434,14,Guadalajara,Priscila Franco Barba,Movimiento Ciudadano,Jalisco
435,15,La Barca,Juan Luis Aguilar García,Movimiento Ciudadano,Jalisco
436,16,San Pedro Tlaquepaque,Oscar Vásquez Llamas,Movimiento Regeneración Nacional,Jalisco
437,17,Jocotepec,María Dolores López Jara,Movimiento Ciudadano,Jalisco
438,18,Autlán de Navarro,Fernando Martínez Guerrero,Movimiento Ciudadano,Jalisco
439,19,Zapotlan el Grande,Higinio del Toro Pérez,Movimiento Ciudadano,Jalisco
440,20,Tonalá,Estefanía Padilla Martínez,Movimiento Ciudadano,Jalisco
441,2,San Juan Bautista Tuxtepec,Laura Estrada Mauro,Movimiento Regeneración Nacional,Oaxaca
442,3,Loma Bonita,Víctor Raúl Hernández López,Partido de la Revolución Democrática,Oaxaca
443,4,Teotitlán de Flores Magón,Lizbeth Anaid Concha Ojeda,Partido Revolucionario Institucional,Oaxaca
444,5,Asunción Nochixtlán,Tania Caballero Navarro,Movimiento Regeneración Nacional,Oaxaca
445,6,Heroica Huajuapan de León,Leticia Socorro Collado Soto,Movimiento Regeneración Nacional,Oaxaca
446,7,Putla Villa de Guerrero,Nicolás Enrique Feria Romero,Movimiento Regeneración Nacional,Oaxaca
447,8,Heroica Ciudad de Tlaxiaco,Sergio López Sánchez,Movimiento Regeneración Nacional,Oaxaca
448,9,Ixtlán de Juárez,Melina Hernández Sosa,Movimiento Regeneración Nacional,Oaxaca
449,10,San Pedro y San Pablo Ayutla,Pablo Díaz Jiménez,Movimiento Regeneración Nacional,Oaxaca
450,11,Matías Romero Avendaño,Rosalinda López García,Movimiento Regeneración Nacional,Oaxaca
451,12,Santa Lucía del Camino,Luis Alberto Sosa Castillo,Movimiento Regeneración Nacional,Oaxaca
452,13,Oaxaca de Juárez,Lizbeth Arroyo Rodríguez,Movimiento Regeneración Nacional,Oaxaca
453,14,Oaxaca de Juárez,Luis Alfonso Silva Romo,Movimiento Regeneración Nacional,Oaxaca
454,15,Santa Cruz Xoxocotlán,Nancy Natalia Benítez Zárate,Movimiento Regeneración Nacional,Oaxaca
455,16,Zimatlán de Álvarez,Horacio Sosa Villavicencio,Movimiento Regeneración Nacional,Oaxaca
456,17,Tlacolula de Matamoros,Haydee Irma Reyes Soto,Movimiento Regeneración Nacional,Oaxaca
457,18,Santo Domingo Tehuantepec,Dennis García Gutiérrez,Movimiento Regeneración Nacional,Oaxaca
458,19,Salina Cruz,Yesenia Nolasco Ramírez,Movimiento Regeneración Nacional,Oaxaca
459,20,Heroica Juchitán de Zaragoza,Reyna Victoria Jiménez Cervantes,Movimiento Regeneración Nacional,Oaxaca
460,21,Heroica Ciudad de Ejutla de Crespo,Leonardo Díaz Jiménez,Partido Acción Nacional,Oaxaca
461,22,Santiago Pinotepa Nacional,Minerva Leonor López Calderón,Partido de la Revolución Democrática,Oaxaca
462,23,San Pedro Mixtepec,Freddy Gil Pinesa Gopar,Partido Revolucionario Institucional,Oaxaca
463,24,Miahuatlán de Porfirio Díaz,Jaime Moisés Santiago Ambrosio,Movimiento Regeneración Nacional,Oaxaca
464,25,San Pedro Pochutla,Juana Aguilar Espinoza,Movimiento Regeneración Nacional,Oaxaca
465,1,Xicotepec de Juárez,José Miguel Octaviano Huerta Rodríguez,Partido del Trabajo,Puebla
466,2,Huauchinango,Laura Ivonne Zapata Martínez,Partido Revolucionario Institucional,Puebla
467,3,Zacatlán,Juan Enrique Rivera Reyes,Partido Revolucionario Institucional,Puebla
468,4,Zacapoaxtla,Norma Sirley Reyes Cabrera,Partido Revolucionario Institucional,Puebla
469,5,Tlatlauquitepec,Nancy Jiménez Morales,Partido Acción Nacional,Puebla
470,6,Teziutlán,Karla Victoria Martínez Gallegos,Movimiento Regeneración Nacional,Puebla
471,7,San Martín Texmelucan,Guadalupe Yamak Taja,Movimiento Regeneración Nacional,
472,8,Huejotzingo,Roberto Solís Valles,Movimiento Regeneración Nacional,Puebla
473,9,Puebla de Zaragoza,Mónica Rodríguez Della Vecchia,Partido Acción Nacional,Puebla
474,10,Puebla de Zaragoza,Nora Yessica Merino Escamilla,Partido del Trabajo,Puebla
475,11,Puebla de Zaragoza,Xel Arianna Hernández García,Movimiento Regeneración Nacional,Puebla
476,12,Amozoc,Mónica Silva Ruiz,Partido del Trabajo,Puebla
477,13,Tepeaca,Sergio Salomón Céspedes Peregrina (2021-2022),Movimiento Regeneración Nacional,Puebla
478,14,Chalchicomula de Sesma,Karla Rodríguez Palacios,Partido Acción Nacional,Puebla
479,15,Tecamachalco,María Ruth Zárate Domínguez,Movimiento Regeneración Nacional,Puebla
480,16,Puebla de Zaragoza,María Guadalupe Leal Rodríguez,Partido Acción Nacional,Puebla
481,17,Puebla de Zaragoza,Gabriel Oswaldo Jiménez López,Partido Acción Nacional,Puebla
482,18,San Pedro Cholula,Aurora Guadalupe Sierra Rodríguez,Partido Acción Nacional,Puebla
483,19,Puebla de Zaragoza,José Iván Herrera Villagómez,Movimiento Regeneración Nacional,Puebla
484,20,Puebla de Zaragoza,José Antonio López Ruiz,Partido del Trabajo,Puebla
485,21,Atlixco,María Yolanda Gámez Mendoza,Movimiento Regeneración Nacional,Puebla
486,22,Izúcar de Matamoros,Azucena Rosas Tapia,Movimiento Regeneración Nacional,Puebla
487,23,Acatlán de Osorio,Eduardo Castillo López,Movimiento Regeneración Nacional,Puebla
488,24,Tehuacán,Fernando Sánchez Sasia,Movimiento Regeneración Nacional,Puebla
489,25,Tehuacán,Olga Lucía Romero García Crespo,Movimiento Regeneración Nacional,Puebla
490,26,Ajalpan,Adolfo Alatriste Cantú,Partido Revolucionario Institucional,Puebla
491,1,Matehuala,Cinthia Verónica Segovia Colunga,Partido del Trabajo,San Luis Potosí
492,2,San Luis Potosí,Rubén Guajardo Barrera,Partido Acción Nacional,San Luis Potosí
493,3,Santa María del Río,Héctor Mauricio Ramírez Konishi,Partido Revolucionario Institucional,San Luis Potosí
494,4,Salinas,Salvador Isaías Rodríguez,Partido del Trabajo,San Luis Potosí
495,5,Soledad de Graciano Sánchez,Dolores Eliza García Román,Partido Verde Ecologista de México,San Luis Potosí
496,6,San Luis Potosí,Eloy Franklin Sarabia,Partido Verde Ecologista de México,San Luis Potosí
497,7,San Luis Potosí,María Aranzazu Puente Bustindui,Partido Acción Nacional,San Luis Potosí
498,8,San Luis Potosí,Martha Patricia Aradillas Aradillas,Partido Verde Ecologista de México,San Luis Potosí
499,9,Soledad de Graciano Sánchez,José Luis Fernández Martínez,Partido Verde Ecologista de México,San Luis Potosí
500,10,Rioverde,José Ramón Torres García,Partido Acción Nacional,San Luis Potosí
501,11,Cárdenas,Edmundo Azael Torrescano Medina,Partido Revolucionario Institucional,Tabasco
502,12,Ciudad Valles,René Oyarvide Ibarra,Partido del Trabajo,San Luis Potosí
503,13,Tamuín,Liliana Guadalupe Flores Almazán,Partido Acción Nacional,San Luis Potosí
504,14,Tancanhuitz,Yolanda Josefina Cepeda Echavarría,Partido Revolucionario Institucional,San Luis Potosí
505,15,Tamazunchale,Bernarda Reyes Hernández,Partido Acción Nacional,San Luis Potosí
506,1,El Fuerte,Martin Vega Álvarez,Partido Sinaloense (2021-2022),Sinaloa
507,2,Ahome,Juana Minerva Vázquez González,Movimiento Regeneración Nacional,Sinaloa
508,3,Ahome,César Ismael Guerrero Alarcón,Movimiento Regeneración Nacional,Sinaloa
509,4,Ahome,Elizabeth Chía Galaviz,Partido Sinaloense,Sinaloa
510,5,Ahome,Cecilia Covarrubias González,Movimiento Regeneración Nacional,Sinaloa
511,6,Sinaloa de Leyva,Feliciano Valle Sandoval,Partido Revolucionario Institucional,Sinaloa
512,7,Guasave,Alba Virgen Montes Álvarez,Partido Sinaloense,Sinaloa
513,8,Guasave,Felicita Pompa Robles,Movimiento Regeneración Nacional,Sinaloa
514,9,Salvador Alvarado,Ambrocio Chávez Chávez,Movimiento Regeneración Nacional,Sinaloa
515,10,Mocorito,Luz Verónica Avilés Rochín,Partido Sinaloense (2021-2022),Sinaloa
516,11,Navolato,Marco César Almaral Rodríguez,Movimiento Regeneración Nacional,Sinaloa
517,12,Culiacán,Almendra Negrete Sánchez,Movimiento Regeneración Nacional,Sinaloa
518,13,Culiacán,Feliciano Castro Melendrez,Movimiento Regeneración Nacional,Sinaloa
519,14,Culiacán,Jesús Alfonso Ibarra Ramos,Movimiento Regeneración Nacional,Sinaloa
520,15,Culiacán,María Victoria Sánchez Peña,Movimiento Regeneración Nacional,Sinaloa
521,16,Culiacán,Marco Antonio Zazueta Zazueta,Movimiento Regeneración Nacional,Sinaloa
522,17,Culiacán,Gene René Bojórquez Ruiz,Partido Sinaloense,Sinaloa
523,18,Culiacán,Serapio Vargas Ramírez,Movimiento Regeneración Nacional,Sinaloa
524,19,Elota,Viridiana Camacho Millán,Partido Sinaloense,Sinaloa
525,20,Mazatlán,Alma Rosa Garzón Aguilar,Movimiento Regeneración Nacional,Sinaloa
526,21,Mazatlán,María del Rosario Osuna Gutiérrez,Partido Sinaloense,Sinaloa
527,22,Mazatlán,Flor Emilia Guerra Mena,Movimiento Regeneración Nacional,Sinaloa
528,23,Concordia,Juan Carlos Patrón Rosales,Movimiento Regeneración Nacional,Sinaloa
529,24,Rosario,Rosario Guadalupe Sarabia Soto,Partido Sinaloense (2021-2022),Sinaloa
530,1,San Luis Río Colorado,Ricardo Lugo Moreno,Movimiento Regeneración Nacional,Sonora
531,2,Puerto Peñasco,Óscar Castro Castro,Movimiento Regeneración Nacional,Sonora
532,3,Heroica Caborca,María Alicia Gaytán Sánchez,Movimiento Regeneración Nacional,Sonora
533,4,Heroica Nogales,Azalia Guevara Espinoza,Movimiento Regeneración Nacional,Sonora
534,5,Heroica Nogales,José Armando Gutiérrez Jiménez,Partido Acción Nacional,Sonora
535,6,Hermosillo,Elia Sahara Sallard Hernández,Partido Revolucionario Institucional (2021-2022),Sonora
536,7,Agua Prieta,María Jesús Castro Urquijo,Movimiento Regeneración Nacional,Sonora
537,8,Hermosillo,Jacobo Mendoza Ruiz,Movimiento Regeneración Nacional,Sonora
538,9,Hermosillo,Karina Teresa Zárate Félix,Partido Revolucionario Institucional (2021-2022),Sonora
539,10,Hermosillo,Alejandra López Noriega,Partido Acción Nacional,Sonora
540,11,Hermosillo,Ivanna Celeste Tadei Arriola,Movimiento Regeneración Nacional,Sonora
541,12,Hermosillo,José Rafael Ramírez Morales,Movimiento Regeneración Nacional,Sonora
542,13,Heroica Guaymas,Sebastián Antonio Orduño Fragoza,Partido del Trabajo,Sonora
543,14,Empalme,Rebeca Irene Silva Gallardo,Movimiento Regeneración Nacional,Sonora
544,15,Ciudad Obregón,Héctor Raúl Castelo Montaño,Movimiento Regeneración Nacional,Sonora
545,16,Ciudad Obregón,Iram Leobardo Solís García,Partido del Trabajo,Sonora
546,17,Ciudad Obregón,Ernestina Castro Valenzuela,Movimiento Regeneración Nacional,Sonora
547,18,Santa Ana,Fermín Trujillo Fuentes,Nueva Alianza Sonora,Sonora
548,19,Navojoa,Próspero Valuenzuela Muñer,Movimiento Regeneración Nacional,Sonora
549,20,Etchojoa,Luis Arturo Robles Higuera,Movimiento Regeneración Nacional,Sonora
550,21,Huatabampo,Claudia Zulema Bours Corral,Partido Verde Ecologista de México,Sonora
551,1,Nuevo Laredo,Gabriela Regalado Fuentes,Movimiento Regeneración Nacional,Tamaulipas
552,2,Nuevo Laredo,Imelda Margarita Sanmiguel Sánchez,Partido Acción Nacional,Tamaulipas
553,3,Nuevo Laredo,Félix Fernando García Aguiar,Partido Acción Nacional,Tamaulipas
554,4,Reynosa,Marco Antonio Gallegos Galván,Movimiento Regeneración Nacional,Tamaulipas
555,5,Reynosa,Guillermina Magaly Deandar Robinson,Movimiento Regeneración Nacional,Tamaulipas
556,6,Reynosa,Juan Ovidio García García,Movimiento Regeneración Nacional,Tamaulipas
557,7,Reynosa,Humberto Armando Prieto Herrera,Movimiento Regeneración Nacional,Tamaulipas
558,8,Río Bravo,Casandra Prisilla de los Santos Flores,Movimiento Regeneración Nacional,
559,9,Valle Hermoso,Eliphaleth Gómez Lozano,Movimiento Regeneración Nacional,Tamaulipas
560,10,Matamoros,José Alberto Granados Fávila,Movimiento Regeneración Nacional,Tamaulipas
561,11,Matamoros,Leticia Sánchez Guillermo,Partido Acción Nacional,Tamaulipas
562,12,Matamoros,Isidro Jesús Vargas Fernández,Movimiento Regeneración Nacional,Tamaulipas
563,13,San Fernando,Marina Edith Ramírez Andrade,Partido Acción Nacional,Tamaulipas
564,14,Ciudad Victoria,José Braña Mojica,Movimiento Regeneración Nacional,Tamaulipas
565,15,Ciudad Victoria,Juan Vital Román Martínez,Movimiento Regeneración Nacional,Tamaulipas
566,16,Xicoténcatl,Liliana Álvarez Lara,Partido Acción Nacional,Tamaulipas
567,17,El Mante,Lidia Martínez López,Partido Acción Nacionala,Tamaulipas
568,18,Altamira,Consuelo Nayeli Lara Monroy,Movimiento Regeneración Nacional,Tamaulipas
569,19,Miramar,Leticia Vargas Álvarez,Partido Acción Nacional,Tamaulipas
570,20,Ciudad Madero,Jesús Suárez Mata,Movimiento Regeneración Nacional,Tamaulipas
571,21,Tampico,Edmundo José Marón Manzur,Partido Acción Nacional,Tamaulipas
572,22,Tampico,Nora Gómez González,Partido Acción Nacional,Tamaulipas
573,1,Calpulalpan,Ever Alejandro Campech Avelar,Partido de la Revolución Democrática,Tlaxcala
574,2,Tlaxco,Diana Torrejón Rodríguez,Partido Revolucionario Institucional,Tlaxcala
575,3,Xaloztoc,Jaciel González Herrera,Partido Verde Ecologista de México,Tlaxcala
576,4,Apizaco,Mónica Sánchez Angulo,Partido Encuentro Social de Tlaxcala,Tlaxcala
577,5,Yauhquemecan,Vicente Morales Pérez,Movimiento Regeneración Nacional,Tlaxcala
578,6,Ixtacuixtla,Lenin Calva Pérez,Nueva Alianza Tlaxcala,Tlaxcala
579,7,Tlaxcala,Gabriela Esperanza Brito Jiménez,Partido del Trabajo,Tlaxcala
580,8,Contla,Lupita Cuamatzi Aguayo,Movimiento Regeneración Nacional,Tlaxcala
581,9,Chiautempan,Maribel León Cruz,Partido Verde Ecologista de México,Tlaxcala
582,10,Huamantla,Miguel Ángel Caballero Yonca,Movimiento Regeneración Nacional,Tlaxcala
583,11,Huamantla,Leticia Martínez Cerón,Partido del Trabajo,Tlaxcala
584,12,Teolocholco,Brenda Cecilia Villantes Rodríguez,Movimiento Regeneración Nacional,Tlaxcala
585,13,Zacatelco,Bladimir Zainos Flores,Nueva Alianza Tlaxcala,Tlaxcala
586,14,Natívitas,Miguel Ángel Cobarrubias Cervantes,Partido del Trabajo,Tlaxcala
587,15,San Pablo del Monte,María Guillermina Loaiza Cortero,Movimiento Regeneración Nacional,Tlaxcala
588,1,Pánuco,Luis Fernando Cervantes Cruz,Movimiento Regeneración Nacional,Veracruz
589,2,Tantoyuca,Roberto Francisco San Román Solana,Movimiento Regeneración Nacional,Veracruz
590,3,Tuxpan,Genaro Ibáñez Martínez,Movimiento Regeneración Nacional,Nayarit
591,4,Álamo,Elizabeth Cervantes de la Cruz,Movimiento Regeneración Nacional,Veracruz
592,5,Poza Rica,Cecilia Josefina Guevara Guembe,Movimiento Regeneración Nacional,Veracruz
593,6,Papantla,Bonifacio Castillo Cruz,Movimiento Regeneración Nacional,Veracruz
594,7,Martínez de la Torre,Adriana Esther Martínez Sánchez,Movimiento Regeneración Nacional,Veracruz
595,8,Misantla,Othón Hernández Candenedo,Partido Acción Nacional,Veracruz
596,9,Perote,Paul Martínez Marie,Partido del Trabajo,Veracruz
597,10,Xalapa,Rosalinda Galindo Silva,Movimiento Regeneración Nacional,Veracruz
598,11,Xalapa,Ana Miriam Ferraez Centeno,Partido del Trabajo,Veracruz
599,12,Coatepec,Luis Ronaldo Zárate Díaz,Partido del Trabajo,Veracruz
600,13,Emiliano Zapata,Luis Antonio Luna Rosales,Partido Verde Ecologista de México,Tabasco
