,Distrito,Cabecera Municipal,Diputado,Partido,Estado
69,21,Silao,Miguel Ángel Salim Alle,Partido Acción Nacional,Guanajuato
70,22,San Miguel de Allende,César Larrondo Díaz,Partido Acción Nacional,Guanajuato
71,01,Dolores Hidalgo,María del Carmen Lozano,Partido Verde Ecologista,Guanajuato
72,02,San Felipe,Marcia Torres González,Partido Revolucionario Institucional,Guanajuato
73,03,Ocampo,José Noé Hernández Bravo,Nueva Alianza,Guanajuato
74,04,San José Iturbide,Fortunato González Islas,Movimiento Regeneración Nacional,Guanajuato
75,05,Doctor Mora,Vicente Charrez Pedraza,Partido del Trabajo,Guanajuato
76,06,Tierra Blanca,Rodrigo Castillo Martínez,Partido Acción Nacional,Guanajuato
77,07,Victoria,Lisset Marcelino Tovar,Movimiento Regeneración Nacional,Guanajuato
78,08,Xichú,Erika Araceli Rodríguez Hernández,Partido Revolucionario Institucional,Guanajuato
79,09,Atarjea,Miguel Ángel Martínez Gómez,Partido de la Revolución Democrática,Guanajuato
80,10,Santa Catarina,Jorge Hernández Araus,Movimiento Regeneración Nacional,Guanajuato
81,11,San Luis de la Paz,José Antonio Hernández Vera,Movimiento Regeneración Nacional,Guanajuato
82,12,Guanajuato,Citlali Jarámillo Ramírez,Partido Revolucionario Institucional,Guanajuato
83,13,Santa Cruz de Juventino Rosas,Elvia Yanet Sierra Vite,Partido del Trabajo,Guanajuato
84,14,Celaya,Octavio Magaña Soto,Partido Verde Ecologista,Guanajuato
85,15,Comonfort,Tania Valdez Cuellar,Partido del Trabajo,Guanajuato
86,16,Apaseo el Alto,Juana Vanessa Escalante Arroyo,Movimiento Regeneración Nacional,Guanajuato
87,17,Apaseo el Grande,Jesús Osiris Leines Medécigo,Partido del Trabajo,Guanajuato
88,18,Juventino Rosas,María Adelaida Muñoz Jumilla,Nueva Alianza,Guanajuato
89,1,La Piedad,Hugo Anaya Ávila,Partido Acción Nacional,Michoacán
90,2,Puruándiro,Julieta Hortencia Gallardo Mora,Partido de la Revolución Democrática (2021)3,Michoacán
91,3,Maravatío,Felipe de Jesús Contreras Correa,Partido Revolucionario Institucional,Michoacán
92,4,Jiquilpan,Mónica Lariza Pérez Campos,Partido Acción Nacional,Michoacán
93,5,Paracho,Eréndira Isauro Hernández,Movimiento Regeneración Nacionala,Michoacán
94,6,Zamora,Laura Ivonne Pantoja Abascal,Partido Acción Nacional,Michoacán
95,7,Zacapu,Mónica Estela Valdez Pulido,Partido de la Revolución Democrática,Michoacán
96,8,Tarímbaro,Baltazar Gaona García,Partido del Trabajo,Michoacán
97,9,Los Reyes,César Enrique Palafox Quintero,Partido Acción Nacional,Michoacán
98,10,Morelia,Marco Polo Aguirre Chávez,Partido Revolucionario Institucional (2021-2022),Michoacán
99,11,Morelia,Andrea Villanueva Cano,Partido Acción Nacional,Michoacán
100,12,Hidalgo,Ana Belinda Hurtado Marín,Partido del Trabajo,Hidalgo
101,13,Zitácuaro,Gloria del Cármen Tapia Reyes,Partido Revolucionario Institucional,Michoacán
102,14,Uruapan,Mayela del Carmen Salas Sáenz,Partido del Trabajob,Michoacán
103,15,Pátzcuaro,Samanta Flores Adame,Partido Revolucionario Institucional,Michoacán
104,16,Morelia,Rubén Iván Arróniz Vázquez,Movimiento Regeneración Nacional,Michoacán
105,17,Morelia,David Alejandro Cortés Mendoza,Partido Acción Nacional,Michoacán
106,18,Huetamo,Anabet Franco Carrizales,Movimiento Regeneración Nacional,Michoacán
107,19,Tacámbaro,Oscar Escobar Ledesma,Partido Acción Nacional,Michoacán
108,20,Uruapan,Brenda Fabiola Fraga Gutiérrez,Partido del Trabajo,Michoacán
109,21,Coalcomán,María Guillermina Ríos Torres,Partido Revolucionario Institucional,Michoacán
110,22,Múgica,Reyes Galindo Pedraza,Partido del Trabajo,Michoacán
111,23,Apatzingán,Fanny Lyssette Arreola Pichardo,Partido de la Revolución Democrática (2021)3,Michoacán
112,24,Lázaro Cárdenas,Julieta García Zepeda,Movimiento Regeneración Nacional,Michoacán
113,1,Cuernavaca,Andrea Valentina Guadalupe Gordillo Vega,Partido Acción Nacional,Morelos
114,2,Cuernavaca,Ángel Adame Jiménez,Partido Acción Nacional,Morelos
115,3,Tepoztlán,Ulises Pardo Bastida,Movimiento Regeneración Nacional,Morelos
116,4,Yecapixtla,Francisco Érik Sánchez Zavala,Partido Acción Nacional,Morelos
117,5,Temixco,Macrina Vallejo Bello,Movimiento Regeneración Nacional,Morelos
118,6,Jiutepec,Ariadna Barrera Vázquez,Movimiento Regeneración Nacional,Morelos
119,7,Cuautla,María Paola Cruz Torres,Movimiento Regeneración Nacional,Morelos
120,8,Xochitepec,Alberto Sánchez Ortega,Partido Revolucionario Institucional,Morelos
121,9,Puente de Ixtla,Luz Dary Quevedo Maldonado,Movimiento Ciudadano,Morelos
122,10,Ciudad Ayala,Verónica Anrubio Kempis,Nueva Alianza Morelos,Morelos
123,11,Jojutla,Arturo Pérez Flores,Movimiento Regeneración Nacional,Morelos
124,12,Yautepec,Agustín Alonso Gutiérrez,Nueva Alianza Morelos,Morelos
125,1,Acaponeta,Francisco Piña Herrera,Movimiento Regeneración Nacional,Nayarit
126,2,Tecuala,Ricardo Parra Tiznado,Movimiento Regeneración Nacional,Nayarit
127,3,Del Nayar,Natalia Carrillo Reza,Movimiento Regeneración Nacional,Nayarit
128,4,Tuxpan,Any Marilú Porras Baylón,Movimiento Regeneración Nacional,Nayarit
129,5,Santiago Ixcuintla,Sergio González García,Partido Verde Ecologista de México (2021)2,Nayarit
130,6,Tepic,Nadia Edith Bernal Jiménez,Partido del Trabajo (2021)2,Nayarit
131,7,Tepic,Georgina Guadalupe López Arias,Partido Verde Ecologista de México,Nayarit
132,8,Tepic,Aristeo Preciado Mayorga,Partido del Trabajo,Nayarit
133,9,Tepic,Luis Fernando Pardo González,Nueva Alianza Nayarit,Nayarit
134,10,San Blas,Juana Nataly Tizcareño Lara,Nueva Alianza Nayarit (2021)2,Nayarit
135,11,Tepic,Luis Enrique Miramontes Vázquez,Movimiento Regeneración Nacional,Nayarit
136,12,Tepic,Laura Paola Monts Ruíz,Movimiento Regeneración Nacional,Nayarit
137,13,Santa María del Oro,Rodrigo Polanco Sojo,Movimiento Regeneración Nacional,Nayarit
138,14,Xalisco,Lourdes Josefina Mercado Soto,Movimiento Regeneración Nacional,Nayarit
139,15,Compostela,Alba Cristal Espinoza Peña,Movimiento Regeneración Nacional,Nayarit
140,16,Ixtlán del Río,Tania Montenegro Ibarra,Partido del Trabajo,Nayarit
141,17,Bahía de Banderas,Alejandro Regalado Curiel,Partido Verde Ecologista de México,Nayarit
142,18,Bahía de Banderas,Héctor Javier Santa García,Movimiento Regeneración Nacional,Nayarit
143,1,Monterrey,Ivonne Álvarez García,Partido Revolucionario Institucional,Nuevo León
144,2,Monterrey,Ricardo Canavati Hadjopulos,Partido Revolucionario Institucional,Nuevo León
145,3,Monterrey,Myrna Isela Grimaldo Iracheta,Partido Acción Nacional,Nuevo León
146,4,Monterrey,Perla de los Ángeles Villarreal Valdez,Partido Revolucionario Institucional,Nuevo León
147,5,Apodaca,Gabriela Govea López,Partido Revolucionario Institucional,Nuevo León
148,6,Monterrey,Alhinna Berenice Vargas García,Partido Revolucionario Institucional,Nuevo León
149,7,Apodaca,José Filiberto Flores Elizondo,Partido Revolucionario Institucional,Nuevo León
150,8,Monterrey,Ana Isabel González González,Partido Revolucionario Institucional,Nuevo León
151,9,San Nicolás de los Garza,Nancy Aracely Olguin Díaz,Partido Acción Nacional,Nuevo León
152,10,San Nicolás de los Garza,Mauro Guerra Villarreal,Partido Acción Nacional,Nuevo León
153,11,San Nicolás de los Garza,Carlos Alberto de la Fuente Flores,Partido Acción Nacional,Nuevo León
154,12,Guadalupe,Gilberto de Jesús Gómez Reyes,Partido Acción Nacional,Nuevo León
155,13,Guadalupe,Héctor García García,Partido Revolucionario Institucional (2021-2022)3,Nuevo León
156,14,Guadalupe,Félix Rocha Esquivel,Partido Acción Nacional,Nuevo León
157,15,Guadalupe,Itzel Soledad Castillo Almanza,Partido Acción Nacional,Nuevo León
158,16,Apodaca,Elsa Escobedo Vázquez,Partido Revolucionario Institucional,Nuevo León
159,17,General Escobedo,Anylu Bendición Hernández Sepúlveda,Movimiento Regeneración Nacional (2021)a,Nuevo León
160,18,San Pedro Garza García,Luis Alberto Susarrey Flores,Partido Acción Nacional,Nuevo León
161,19,Santa Catarina,Roberto Carlos Farías García,Partido Acción Nacional (2021-2022)7,Guanajuato
162,20,García,Raúl Lozano Caballero,Partido Verde Ecologista de México,Nuevo León
163,21,Sabinas Hidalgo,Daniel Omar González Garza,Partido Acción Nacional,Nuevo León
164,22,Juárez,Julio César Cantú González,Partido Revolucionario Institucional,Nuevo León
165,23,Juárez,Carlos Rafael Rodríguez Gómez,Movimiento Ciudadano,Nuevo León
166,24,Linares,Jesús Homero Aguilar Hernández,Partido Revolucionario Institucional,Nuevo León
167,25,General Escobedo,María del Consuelo Gálvez Contreras,Nueva Alianza Nuevo León (2021-2022)8,Nuevo León
168,26,Santiago,Javier Caballero Gaona,Partido Revolucionario Institucional,Nuevo León
169,1,Querétaro,Dulce Imelda Ventura Rendón,Partido Acción Nacional,Querétaro
170,2,Querétaro,Manuel Pozo Cabrera,Partido Querétaro Independiente,Querétaro
171,3,Querétaro,Enrique Antonio Correa Sada,Partido Acción Nacional,Querétaro
172,4,Querétaro,Ana Paola López Birlain,Partido Acción Nacional,Querétaro
173,5,Querétaro,Luis Gerardo Ángeles Herrera,Partido Acción Nacional,Querétaro
174,6,Querétaro,Maricruz Arellano Dorado,Partido Acción Nacional,Querétaro
175,7,Corregidora,Luis Antonio Zapata Guerrero,Partido Acción Nacional,Querétaro
176,8,San Juan del Río,Rosendo Anaya Aguilar,Partido Acción Nacional,Querétaro
177,9,San Juan del Río,Germain Garfias Alcántara,Partido Acción Nacional,Querétaro
178,10,Pedro Escobedo,Guillermo Vega Guerrero,Partido Acción Nacional,Querétaro
179,11,Tequisquiapan,Martha Daniela Salgado Márquez,Partido Querétaro Independiente,Querétaro
180,12,El Marqués,Alejandrina Verónica Galicia Castañón,Partido Acción Nacional,Querétaro
181,13,Querétaro,Beatriz Guadalupe Marmolejo Rojas,Partido Acción Nacional,Querétaro
182,14,Cadereyta de Montes,Leticia Rubio Montes,Partido Acción Nacional,Querétaro
183,15,Jalpan de Serra,Liz Selene Salazar Pérez,Partido Querétaro Independiente (2021-2022)3,Querétaro
184,1,Kantunilkín,Julián Javier Ricalde Magaña,Fuerza por México Quintana Roo,Quintana Roo
185,2,Cancún,Susana Hurtado Vallejo,Partido Verde Ecologista de México,Quintana Roo
186,3,Cancún,Hugo Alday Nieto,Partido del Trabajo,Quintana Roo
187,4,Cancún,Cristina del Carmen Alcerreca Manzanero,Partido Verde Ecologista de México,Quintana Roo
188,5,Cancún,Mildred Concepción Ávila Vera,Movimiento Regeneración Nacional,Quintana Roo
189,6,Cancún,Andrea del Rosario González Loria,Movimiento Regeneración Nacional,Quintana Roo
190,7,Cancún,María Fernanda Cruz Sánchez,Movimiento Regeneración Nacional,Quintana Roo
191,8,Cancún,Issac Janix Alanis,Partido del Trabajo,Quintana Roo
192,9,Tulum,Silvia Dzul Sánchez,Movimiento Regeneración Nacional,Quintana Roo
193,10,Playa del Carmen,Angy Estefanía Mercado Asencio,Partido Verde Ecologista de México,Quintana Roo
194,11,Cozumel,Renán Eduardo Sánchez Tajonar,Partido Verde Ecologista de México,Quintana Roo
195,12,Felipe Carrillo Puerto,José María Chacón Chablé,Movimiento Regeneración Nacional,Quintana Roo
196,13,Bacalar,Alicia Tapia Montejo,Partido del Trabajo,Quintana Roo
197,14,Chetumal,Elda María Xix Euan,Movimiento Regeneración Nacional,Quintana Roo
198,15,Chetumal,Omar Antonio Rodríguez Martínez,Movimiento Regeneración Nacional,Quintana Roo
199,1,Gustavo A. Madero,Alberto Martínez Urincho,Movimiento Regeneración Nacional,Distrito Federal
200,2,Gustavo A. Madero,Diego Orlando Garrido López,Partido Acción Nacional,Distrito Federal
201,3,Azcapotzalco,Nancy Marlene Núñez Reséndiz,Movimiento Regeneración Nacional,Distrito Federal
202,4,Gustavo A. Madero,Nazario Norberto Sánchez,Movimiento Regeneración Nacional,Distrito Federal
