,Municipio,Municipal,Estado,Gobernador,Partido
0,Acambay,Maribel Alcantara Nuñez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
1,Acolman,Rigoberto Cortes Melgoza,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
2,Aculco,Jorge Alfredo Osornio Victoria,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
3,Almoloya de Alquisiras,Leopoldo Dominguez Flores,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
4,Almoloya de Juarez,Oscar Sanchez Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
5,Almoloya del Rio,Esmeralda Gonzalez Lagunas,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
6,Amanalco,Maria Elena Martinez Robles,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
7,Amatepec,Obed Santos Rojo,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
8,Amecameca,Ivett Topete Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
9,Apaxco,Jesus Gaspar Montiel Rodriguez,Estado de Mexico,Alfredo del Mazo Maza,Fuerza por México
10,Atenco,Talia Citlali Cruz Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
11,Atizapan,Isaac Reyes Salazar,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
12,Atizapan de Zaragoza,Pedro David Rodriguez Villegas,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
13,Atlacomulco,Marisol del Socorro Arias Flores,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
14,Atlautla,Raul Navarro Rivera,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
15,Axapusco,Miriam Coronel Meneses,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
16,Ayapango,Rene Martin Velazquez Soriano,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
17,Calimaya,Oscar Hernandez Meza,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
18,Capulhuac,Cassimiro Emanuel Alvarado Diaz,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
19,Coacalco de Berriozabal,David Sanchez Isidoro,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
20,Coatepec Harinas,Marco Antonio Diaz Juarez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
21,Cocotitlan,Felix Guzman Florin,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
22,Coyotepec,Andres Oscar Montoya Martinez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
23,Cuautitlan,Aldo Ledezma Reyna,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
24,Chalco,Jose Miguel Gutierrez Morales,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
25,Chapa de Mota,Aniceto Pastor Cruz Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
26,Chapultepec,Laura Amalia Gonzalez Martinez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
27,Chiautla,Maricela Melo Rojas,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
28,Chicoloapan,Nancy Jazmin Gomez Vargas,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
29,Chiconcuac,Agustina Catalina Velazco Vicuña,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
30,Chimalhuacan,Xochitl Flores Jimenez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
31,Donato Guerra,Maria del Carmen Albarran Gabriel,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
32,Ecatepec de Morelos,Fernando Vilchis Contreras,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
33,Ecatzingo,Rebeca Perez Martinez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
34,Huehuetoca,Milton Castañeda Diaz,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
35,Hueypoxtla,Diego Vargas Colin,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
36,Huixquilucan,Romina Contreras Carrasco,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
37,Isidro Fabela,Astrid Anita Davila Ordoñez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
38,Ixtapaluca,Felipe Rafael Avizu de la Luz,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
39,Ixtapan de la Sal,Edgar Misael Ocampo Ayala,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
40,Ixtapan del Oro,Benigro Arroyo Bautista,Estado de Mexico,Alfredo del Mazo Maza,Partido del Trabajo
41,Ixtlahuaca,Abuzeid Lozano Castañeda,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
42,Xalatlaco,Abel Flores Guzman,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
43,Jaltenco,Maria del Rosario Payne Islas,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
44,Jilotepec,Rodolfo Nogues Barajas,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
45,Jilotzingo,Ana Teresa Casas Gonzalez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
46,Jiquipilco,Felipe de Jesus Sanchez Davila,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
47,Jocotitlan,Jose Jesus Cedillo Gonzalez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
48,Joquicingo,Rausel Cevantes Flores,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
49,Juchitepec,Marisol Nava Linares,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
50,Lerma,Miguel Angel Ramirez Ponce,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
51,Malinalco,Juan Antonio Mendoza Pedroza,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
52,Melchor Ocampo,Victoria Aurelia Viquez Vega,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
53,Metepec,Fernando Gustavo Flores Fernandez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
54,Mexicaltzingo,Ariadne Saray Benitez Espinoza,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
55,Morelos,Miriam Nancy Garcia Antonio,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
56,Naucalpan de Juarez,Angelica Moya Marin,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
57,Nextlalpan,Lorena Alameda Juarez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
58,Nezahualcoyotl,Adolfo Cerqueda Rebollo,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
59,Nicolas Romero,Armando Navarrete Lopez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
60,Nopaltepec,Gumaro Waldo Lopez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
61,Ocoyoacac,Samuel Verdeja Ruiz,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
62,Ocuilan,Wilfrido Perez Segura,Estado de Mexico,Alfredo del Mazo Maza,Partido Encuentro Solidario
63,El Oro,Ruth Salazar Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
64,Otumba,Hiliarion Coronel Lemus,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
65,Otzoloapan,Yureni Nuñez Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
66,Otzolotepec,Erika Sevilla Alvarado,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
67,Ozumba,Valentin Martinez Castillo,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
68,Papalotla,Rodrigo Ruiz Martinez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
69,La Paz,Cristina Gonzalez Cruz,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
70,Polotitlan,Teresita Sanchez Barcena,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
71,Rayon,Erick Vladimir Cedillo Hinojosa,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
72,San Antonio la Isla,Lizhet Marlene Sandoval Colindres,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
73,San Felipe del Progreso,Javier Jeronimo Apolonio,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
74,San Martin de las Piramides,Edgar Martinez Barragan,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
75,San Mateo Atenco,Ana Aurora Muñiz Neyra,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
76,San Simon de Guerrero,Sara Mora de Jesus,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
77,Santo Tomas,Maria del Rosario Matias Esquivel,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
78,Soyaniquilpan de Juarez,Jesus Espinosa Arciniega,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
79,Sultepec,Jose Alberto Mejia Santa Olalla,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
80,Tecamac,Mariela Gutierrez Escalante,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
81,Tejupilco,Rigoberto Lopez Rivera,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
82,Temamatla,Jose Alfredo Vallejo Gama,Estado de Mexico,Alfredo del Mazo Maza,Redes Sociales Progresistas
83,Temascalapa,Quirino Meneses Vivaldo,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
84,Temascalcingo,Jose Luis Espinoza Navarrete,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
85,Temascaltepec,Carlos Gonzalez Berra,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
86,Temoaya,Nelly Brigada Rivera Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
87,Tenancingo,Hector Gordillo Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
88,Tenango del Aire,Roberto Avila Ventura,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
89,Tenango del Valle,Roberto Bautista Arellano,Estado de Mexico,Alfredo del Mazo Maza,Partido del Trabajo
90,Teoloyucan,Juan Carlos Padilla Uribe,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
91,Teotihuacan,Mario Paredes de la Torre,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
92,Tepetlaoxtoc,Ismael Olivares Vazquez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
93,Tepetlixpa,Abelardo Rodriguez Garcia,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
94,Tepotzotlan,Maria de los Angeles Zuppa,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
95,Tequixquiac,Luis Raul Meneses Garcia,Estado de Mexico,Alfredo del Mazo Maza,Fuerza por México
96,Texcaltitlan,Javier Lujano Huerta,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
97,Texcalyacac,Xochitl Maribel Ramirez Bermejo,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
98,Texcoco,Sandra Luz Falcon Venegas,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
99,Tezoyuca,Edgar Uriel Morales Avila,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
100,Tianguistenco,Diego Eric Moreno Valle,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
101,Timilpan,Isaias Lugo Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
102,Tlalmanalco,Luis Enrique Sanchez Reyes,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
103,Tlalnepantla de Baz,Marco Antonio Rodriguez Hurtado,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
104,Tlatlaya,Crisofo Hernandez Mena,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
105,Toluca,Raymundo Egar Martinez Carbajal,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
106,Tonatico,Evelia Marlem Ayala Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
107,Tultepec,Ramio Sergio Luna Cortes,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
108,Tultitlan,Elena Garcia Martinez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
109,Valle de Bravo,Michelle Nuñez Ponce,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
110,Villa de Allende,Arturo Piña Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
111,Villa del Carbon,Andri Guadalupe Correa Rodriguez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
112,Villa Guerrero,Francisco Lugo Millan,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
113,Villa Victoria,Maria Luisa Carmona Alvarado,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
114,Xonacatlan,Alfredo Gonzalez Gonzalez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
115,Zacazonapan,Juan Vicente Jaramillo Cruz,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
116,Zacualpan,Beatriz Perez Vazquez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
117,Zinacantepec,Manuel Vilchis Viveros,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
118,Zumpahuacan,Nora Angelica Fuentes Aguilar,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
119,Zumpango,Miguel Angel Gamboa Monroy,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
120,Cuautitlan Izcalli,Karla Leticia Fiesco Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
121,Valle de Chalco Solidaridad,Armando Garcia Mendez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
122,Luvianos,Rosa Maria Garduño Cienfuegos,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
123,San Jose del Rincon,Ana Maria Vazquez Carmona,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
124,Tonanitla,Mauro Martinez Martinez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
125,Aguascalientes,Leonardo Montañez Castro,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Acción Nacional
126,Asientos,Jose Manuel Gonzalez Mota,Aguascalientes,Maria Teresa Jimenez Esquivel,Movimiento Regeneración Nacional
127,Calvillo,Daniel Romo Urrutia,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Acción Nacional
128,Cosio,Eusebio Enrique Delgado Esparza,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Verde Ecologista de México
129,Jesus Maria,Jose Antonio Arambula Lopez,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Acción Nacional
130,Pabellon de Arteaga,Humberto Ambriz Delgadillo,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Revolucionario Institucional
131,Rincon de Romos,Francisco Javier Rivera Luevano,Aguascalientes,Maria Teresa Jimenez Esquivel,Nueva Alianza Aguascalientes
132,San Jose de Gracia,Armando Rodriguez Dominguez,Aguascalientes,Maria Teresa Jimenez Esquivel,Fuerza por México
133,Tepezala,Leticia Olivares Jimenez,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Verde Ecologista de México
134,El Llano,Cezar Pedroza Ortega,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido del Trabajo
135,San Francisco de los Romo,Margarita Gallegos Soto,Aguascalientes,Maria Teresa Jimenez Esquivel,Partido Revolucionario Institucional
136,Ensenada,Armando Ayala Robles,Baja California,Marina del Pilar Avila Olmeda,Movimiento Regeneración Nacional
137,Mexicali,Norma Alicia Bustamante Martinez,Baja California,Marina del Pilar Avila Olmeda,Movimiento Regeneración Nacional
138,Rosarito,Hilda Araceli Brown Figueredo,Baja California,Marina del Pilar Avila Olmeda,Movimiento Regeneración Nacional
139,Tecate,Edgar Dario Benitez Ruiz,Baja California,Marina del Pilar Avila Olmeda,Movimiento Regeneración Nacional
140,Tijuana,Montserrat Caballero Ramirez,Baja California,Marina del Pilar Avila Olmeda,Movimiento Regeneración Nacional
141,Comondu,Iliana Guadalupe Talamantes Higuera,Baja California Sur,Victor Manuel Castro Cosio,Movimiento Regeneración Nacional
142,Mulege,Edith Aguilar Villavicencio,Baja California Sur,Victor Manuel Castro Cosio,Partido Acción Nacional
143,La Paz,Milena Paola Quiroga Romero,Baja California Sur,Victor Manuel Castro Cosio,Movimiento Regeneración Nacional
144,Loreto,Paola Margarita Cota Davis,Baja California Sur,Victor Manuel Castro Cosio,Partido Acción Nacional
145,Los Cabos,Oscar Leggs Castro,Baja California Sur,Victor Manuel Castro Cosio,Movimiento Regeneración Nacional
146,Calkini,Juanita del Rosario Cortes Moo,Campeche,Layda Elena Sansores San Roman,Partido Revolucionario Institucional
147,Campeche,Biby Karen Rabelo de la Torre,Campeche,Layda Elena Sansores San Roman,Movimiento Ciudadano
148,Ciudad del Carmen,Pablo Gutierrez Lazarus,Campeche,Layda Elena Sansores San Roman,Movimiento Regeneración Nacional
149,Champoton,Claudeth Sarricolea Castillejo,Campeche,Layda Elena Sansores San Roman,Movimiento Regeneración Nacional
150,Hecelchakan,Jose Dolores Brito Pech,Campeche,Layda Elena Sansores San Roman,Partido Revolucionario Institucional
151,Hopelchen,Emilio Lara Calderon,Campeche,Layda Elena Sansores San Roman,Partido Revolucionario Institucional
152,Palizada,Angela del Carmen Camara Damas,Campeche,Layda Elena Sansores San Roman,Partido de la Revolución Democrática
153,Tenabo,Karla del Rosario Uc Tuz,Campeche,Layda Elena Sansores San Roman,Partido Acción Nacional
154,Escarcega,Silvestre Lemus Orozco,Campeche,Layda Elena Sansores San Roman,Movimiento Ciudadano
155,Calakmul,Luis Enrique Alvarado Moo,Campeche,Layda Elena Sansores San Roman,Movimiento Regeneración Nacional
156,Candelaria,Francisco Javier Farias Bailon,Campeche,Layda Elena Sansores San Roman,Partido Acción Nacional
157,Seybaplaya,Cinthya Gelitzi Velazquez Rivera,Campeche,Layda Elena Sansores San Roman,Partido Revolucionario Institucional
158,Dzitbalche,Roberto Herrera Maas,Campeche,Layda Elena Sansores San Roman,Movimiento Regeneración Nacional
159,Abasolo,Ramiro Reyes Rodriguez,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
160,Acuña,Emilio Alejandro de Hoyos Montemayor,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
161,Allende,Jose de Jesus Diaz Gutierrez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
162,Arteaga,Ramiro Duran Garcia,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
163,Candela,Aracelia Jasso Vaquera,Coahuila,Miguel Angel Riquelme Solis,Partido Acción Nacional
164,Castaños,Juan Antonio Garza Garcia,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
165,Cuatrocienegas,Manuel Humberto Villarreal Cortez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
166,Escobedo,Jesus Huitron Maldonado,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
167,Francisco I. Madero,Jonathan Avalos Rodriguez ,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
168,Frontera,Roberto Clemente Piña Amaya,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
169,General Cepeda,Pablo Salas Aguirre,Coahuila,Miguel Angel Riquelme Solis,Partido Acción Nacional
170,Guerrero,Mario Cedillo Infante,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
171,Hidalgo,Mario Alberto Cruz Gutierrez,Coahuila,Miguel Angel Riquelme Solis,Partido Verde Ecologista de México
172,Jimenez,Claudia Maribel Gonzalez Espinoza,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
173,Juarez,Juan Carlos Calderon Orozco,Coahuila,Miguel Angel Riquelme Solis,Partido Acción Nacional
174,Lamadrid,Magadalena Ortiz Pizarro,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
175,Matamoros,Miguel Angel Ramirez Lopez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
176,Monclova,Mario Alberto Davila Delgado,Coahuila,Miguel Angel Riquelme Solis,Partido Acción Nacional
177,Morelos,Gerardo Xavier de Hoyos Perales,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
178,Muzquiz,Tania Vanessa Flores Guerra,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
179,Nadadores,Maria Alejandra Huerta Aleman,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
180,Nava,Maria del Pilar Valenzuela Gallardo,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
181,Ocampo,Laura Mara Silva Fernandez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
182,Parras de la Fuente,Fernando Orozco Lara,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
183,Piedras Negras,Norma Lucille Treviño Galindo,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
184,Progreso,Federico Quintanilla Riojas,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
185,Ramos Arizpe,Jose Maria Morales Padilla,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
186,Sabinas,Diana Guadalupe Haro Martinez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
187,Sacramento,Andrea Wendolin Ovalle Reyna,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
188,Saltillo,Jose Maria Fraustro Siller,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
189,San Buenaventura,Hugo Ivan Lozano Sanchez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
190,San Juan de Sabinas,Mario Alberto Lopez Gamez,Coahuila,Miguel Angel Riquelme Solis,Movimiento Regeneración Nacional
191,San Pedro,David Ruiz Mejia,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
192,Sierra Mojada,Elias Portillo Vasquez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
193,Torreon,Roman Alberto Cepeda Gonzalez,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
194,Viesca,Hilario Silvet Ecobedo de la Paz,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
195,Villa Union,Mario Humberto Gonzalez Vela,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
196,Zaragoza,Laura Maria Galindo Dovalina,Coahuila,Miguel Angel Riquelme Solis,Partido Revolucionario Institucional
197,Armeria,Diana Xally Yael Zepeda Figueroa,Colima,Indira Vizcaino Silva,Movimiento Regeneración Nacional
198,Colima,Elia Margarita Moreno Gonzalez,Colima,Indira Vizcaino Silva,Partido Acción Nacional
199,Comala,Felipe de Jesus Michel Santana,Colima,Indira Vizcaino Silva,Partido Acción Nacional
200,Coquimatlan,Leonor Alcaraz Manzo,Colima,Indira Vizcaino Silva,Movimiento Regeneración Nacional
201,Cuauhtemoc,Gabriela Mejia Martinez,Colima,Indira Vizcaino Silva,Partido Revolucionario Institucional
202,Ixtlahuacan,Carlos Alberto Carrasco Chavez,Colima,Indira Vizcaino Silva,Partido Encuentro Solidario
203,Manzanillo,Griselda Martinez Martinez,Colima,Indira Vizcaino Silva,Movimiento Regeneración Nacional
204,Minatitlan,Ciceron Alejandro Mancilla Gonzalez,Colima,Indira Vizcaino Silva,Partido Verde Ecologista de México
205,Tecoman,Elias Antonio Lozano Ochoa,Colima,Indira Vizcaino Silva,Movimiento Regeneración Nacional
206,Villa de Alvarez,Esther Gutierrez Andrade,Colima,Indira Vizcaino Silva,Partido Revolucionario Institucional
207,Acacoyagua,Ismael Diaz Bravo,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Verde Ecologista de México
208,Acala,Rodrigo Trinidad Rosales Franco,Chiapas,Rutilio Cruz Escandon Cadenas,Chiapas Unido
209,Acapetahua,Gerardo Sanchez Rojas,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Verde Ecologista de México
210,Altamirano,Gabriela Roque Tipacamu,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Verde Ecologista de México
211,Amatan,Jose Guadalupe Lomasto Torres,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Verde Ecologista de México
212,Amatenango de la Frontera,Ernesto Teodomiro Osorio Escobar,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Verde Ecologista de México
213,Amatenango del Valle,Andrea Diaz Martinez,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Revolucionario Institucional
214,Angel Albino Corzo,Lazaro Escalante Lopez,Chiapas,Rutilio Cruz Escandon Cadenas,Chiapas Unido
215,Arriaga,Yolanda Alonso de los Santos,Chiapas,Rutilio Cruz Escandon Cadenas,Movimiento Regeneración Nacional
216,Bejucal de Ocampo,Onecimo Esau Santizo Robledo,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Encuentro Solidario
217,Bella Vista,Fabio Lopez Roblero,Chiapas,Rutilio Cruz Escandon Cadenas,Partido del Trabajo
218,Berriozabal,Jorge Arturo Acero Gomez,Chiapas,Rutilio Cruz Escandon Cadenas,Movimiento Regeneración Nacional
219,Bochil,Sergio Luis Zenteno Meneses,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Revolucionario Institucional
220,El Bosque,Humberto Lopez Perez,Chiapas,Rutilio Cruz Escandon Cadenas,Mover a Chiapas
221,Cacahoatan,Rafael Inchong Juan,Chiapas,Rutilio Cruz Escandon Cadenas,Partido del Trabajo
222,Catazaja,Maria Fernandez Dorantes Nuñez,Chiapas,Rutilio Cruz Escandon Cadenas,Movimiento Regeneración Nacional
223,Cintalapa,Ernesto Cruz Diaz,Chiapas,Rutilio Cruz Escandon Cadenas,Movimiento Regeneración Nacional
224,Coapilla,Lenin Perez Morales,Chiapas,Rutilio Cruz Escandon Cadenas,Partido de la Revolución Democrática
225,Comitan de Dominguez,Mario Antonio Guillen Dominguez,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Revolucionario Institucional
226,La Concordia,Miguel Angel Cordova Ochoa,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Encuentro Solidario
227,Copainala,Javier Eliecer Vazquez Castillejos,Chiapas,Rutilio Cruz Escandon Cadenas,Partido Revolucionario Institucional
